Reg #,Lot #,ID #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
5006195,57,M10,LOOSLI JM CORNERSTONE M10,118,37,81,11,-0.08,68,110,0.27,0.51,28,2,13,6,11,0.67,0.01,27,0.29,0.01
5006003,58,418,LOOSLI COMPLETE 418,103,46,56,15,-1.8,75,125,0.31,1.31,26,17,10,8,16,0.43,0.03,31,0.18,0
5006081,59,441,LOOSLI JUMP START 441,122,50,72,15,-1.9,86,149,0.4,1.23,32,17,16,9,13,0.39,0.08,43,0.46,0.04
5005905,60,4134,LOOSLI PROFITEER 4134,103,52,51,10,-0.7,79,125,0.29,1.18,29,10,11,6,16,0.49,0.11,29,0.19,0.04
5005861,61,4114,LOOSLI COMPLETE 4114,148,68,79,14,-3.1,73,129,0.35,1.05,31,10,11,7,19,0.7,0.24,32,-0.03,0.05
5006191,62,498,LOOSLI COMPLETE 498,89,42,47,15,-2.8,76,125,0.3,1.05,31,18,10,8,16,0.51,0.07,17,0.07,0.03
5006035,63,420,LOOSLI PROPULSION 420,143,82,61,16,-3.8,68,107,0.25,0.86,31,1,15,9,17,0.6,0.22,32,0.1,0.06
5005835,64,4102,LOOSLI PROPULSION 4102,91,44,47,13,-4.2,56,77,0.14,0.41,32,3,14,7,13,0.49,0.2,29,-0.03,0.04
5006079,65,440,LOOSLI PROPULSION 440,107,63,44,12,-2,67,103,0.22,1.01,31,5,15,7,15,0.64,0.2,18,-0.16,0.04
5005851,66,411,LOOSLI COMPLETE 411,121,78,43,15,-4.2,67,106,0.25,0.77,31,8,12,8,20,0.51,0.23,19,-0.19,0.05
5005821,67,406,LOOSLI JUMP START 406,102,62,40,13,-1.5,83,133,0.31,0.73,26,14,14,7,17,0.19,0.14,33,0.26,0.05
5006063,68,431,MISS LOOSLI PERSEVERANC 431,115,58,58,17,-4.5,69,121,0.32,1.41,35,7,12,10,14,0.4,0.1,33,0.18,0.02
5006161,69,483,LOOSLI COMPLETE 483,141,84,58,16,-4.1,72,115,0.27,0.36,24,-1,11,7,19,0.42,0.05,24,0.16,0.02
5006101,70,451,LOOSLI RIVERSIDE 451,144,76,67,15,-5,64,108,0.28,1.01,30,11,13,9,19,0.49,0.16,37,0.25,0.05
