Lot #,REG #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,DMI,M,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT
113,5174415,LOOSLI LEAD 5141,136,82,54,8,1.5,95,152,0.35,1.08,26,11,15,7,18,0.32,0.14,44,0.23,0.03
114,5174439,LOOSLI MISSION 5153,100,49,51,8,0.1,67,98,0.2,1.08,29,7,13,7,14,0.67,0.11,24,0.12,0.03
115,5174465,LOOSLI FLASHDRIVE 5166,109,50,60,17,-1.7,82,131,0.3,1.38,32,21,13,9,16,0.76,0.21,28,-0.05,0.05
116,5135015,LOOSLI JM IGNITE N13,65,26,39,23,-6.8,58,96,0.23,0.27,27,13,11,10,13,0.36,-0.09,1,0.4,0.03
117,5174497,LOOSLI HARD DRIVE 5182,97,54,44,12,-1.7,82,135,0.33,1.03,32,10,14,7,14,0.12,-0.04,38,0.51,0
118,5174409,LOOSLI SUPREMACY 5138,88,69,20,13,-2.3,66,97,0.19,0.86,26,8,13,6,18,0.46,0.06,4,-0.17,0.01
119,5174447,LOOSLI COLLUSION 5157,92,76,17,13,-2.4,57,85,0.18,0.89,26,5,10,8,19,0.32,0.05,8,-0.19,0
120,5174237,LOOSLI COLLUSION 550 T,124,81,43,16,-4,59,100,0.25,0.86,24,1,11,9,19,0.3,0.09,24,0.07,0.02
121,5174297,LOOSLI FLASHDRIVE 580,116,53,63,13,-2.1,74,116,0.27,1.14,27,15,11,9,16,0.89,0.02,13,0.13,0.02
122,5174163,LOOSLI COLLUSION 510,97,22,76,9,2.4,79,131,0.33,0.71,20,1,11,5,10,0.46,0.06,39,-0.02,-0.03
123,5174209,LOOSLI COLLUSION 534,116,45,71,11,-0.1,73,120,0.3,0.94,25,3,12,7,13,0.53,0.04,34,0.22,0
124,5174487,LOOSLI AGENT 5177,132,87,45,15,-2.7,68,104,0.23,0.93,28,11,16,11,18,0.4,0.23,35,0.06,0.06
125,5174437,LOOSLI REALITY 5152,83,28,54,10,-0.3,84,135,0.32,1.03,26,6,10,6,11,0.41,0.14,35,0,0.01
