LOT #,Reg #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
74,4281665,LOOSLI SPECIAL FORCES 0140,118,87,31,9,-1,64,100,0.23,26,1,12,4,18,0.37,0.04,18,0.15,0.02
75,4281673,LOOSLI FORTUNE 0144,133,85,48,15,-2.1,65,110,0.28,30,-1,12,9,14,0.29,0.04,35,0.29,0.01
76,4281555,LOOSLI MERLIN 0109,105,90,15,17,-6.8,47,70,0.14,28,3,4,11,20,0.48,0.01,-4,0.01,0.03
77,4281633,LOOSLI TRIAD 0124,196,126,70,18,-5.4,56,91,0.22,26,2,14,11,22,0.67,0.19,41,0.23,0.05
78,4281485,LOOSLI STILLWATER 098,191,129,62,15,-0.4,51,87,0.22,30,1,20,9,21,0.72,0.12,21,0.1,0.04
79,4281769,LOOSLI DEFENDER 0169,126,85,42,13,0.3,72,119,0.29,26,4,14,8,22,0.33,0.06,20,0.21,0.03
80,4281541,LOOSLI STILLWATER 0102,136,96,40,10,1.3,61,100,0.25,30,2,16,5,18,0.74,0.16,10,-0.09,0.05
81,4281833,LOOSLI TOP LINE 0177,154,75,79,8,-0.4,73,119,0.29,20,3,16,6,17,0.27,0.08,38,0.35,0.03
82,4281835,LOOSLI TOP LINE 0178,155,89,66,16,-2.9,63,110,0.29,24,3,10,10,13,0.65,0.1,43,0.46,0.04
83,4281749,LOOSLI FRONTLINES 0159,105,69,36,15,-4.2,72,112,0.25,25,4,10,9,12,0.62,0.17,24,0.11,0.06
84,4281549,LOOSLI FORTUNE 0106,125,86,39,13,-3.8,67,115,0.3,31,3,18,8,13,0.32,0.06,25,0.32,0.04
85,4281353,LOOSLI MERLIN 056,102,107,-5,16,-5.5,47,64,0.11,34,1,12,9,21,0.47,0.11,-8,-0.18,0.05
86,4281755,LOOSLI FRONTLINES 0162,139,90,49,18,-2.8,64,97,0.21,24,3,12,12,15,0.8,0.01,17,0.34,0.04
87,4281193,LOOSLI FULLBACK 023,81,99,-18,14,-1.5,64,97,0.21,31,0,11,7,19,-0.17,0.01,16,0.08,0
88,4281157,LOOSLI FULLBACK 006,134,95,39,9,-0.2,75,123,0.3,31,2,12,5,18,0.32,0.19,30,-0.08,0.03
